hour,Technology,value
793,demand,5469.621808918317
794,demand,5322.293670179251
795,demand,5240.568893148923
796,demand,5184.791922570597
797,demand,5135.267421535361
798,demand,5831.11825780164
799,demand,6655.565677112719
800,demand,7218.6447262487
801,demand,7315.9924309890375
802,demand,7061.434458007202
803,demand,6817.280703943916
804,demand,6559.141849743821
805,demand,6430.651449718411
806,demand,6367.585220660287
807,demand,6319.803919244539
808,demand,6438.453221555458
809,demand,7193.690509701002
810,demand,7423.701718992753
811,demand,7301.706457877652
812,demand,7135.415692016041
813,demand,6831.609121463052
814,demand,6456.876865577178
815,demand,6128.712775622034
816,demand,5747.275051554166
817,demand,5560.089748063676
818,demand,5418.271474169699
819,demand,5314.72903663048
820,demand,5231.39981178351
821,demand,5143.69260898539
822,demand,5784.231481776707
823,demand,6554.669805666739
824,demand,7100.425441799076
825,demand,7185.288952800205
826,demand,7087.85790570606
827,demand,6946.134338064195
828,demand,6716.442521334693
829,demand,6612.4984122118985
830,demand,6585.8184191488635
831,demand,6645.813078965768
832,demand,6843.954796660008
833,demand,7463.672322236567
834,demand,7596.466164506678
835,demand,7487.956576754685
836,demand,7267.083691943184
837,demand,6894.043021108766
838,demand,6427.352216415634
839,demand,6040.297887561734
840,demand,5652.4609297739935
841,demand,5321.388993170417
842,demand,5207.568908022794
843,demand,5152.791037479518
844,demand,5202.466002948492
845,demand,5483.887083474532
846,demand,6551.496356648489
847,demand,7475.07216213094
848,demand,7882.02563557378
849,demand,7861.568776437068
850,demand,7537.139373503462
851,demand,7246.133021133064
852,demand,7030.341469250263
853,demand,6885.099587232011
854,demand,6760.124644885487
855,demand,6618.358920700417
856,demand,6664.953284224808
857,demand,7317.067176708295
858,demand,7472.545219982392
859,demand,7318.437431853804
860,demand,7055.227983299219
861,demand,6653.178272335187
862,demand,6154.522471373222
863,demand,5771.173344357593
864,demand,5373.612881727175
865,demand,5312.194035871906
866,demand,5188.821361385908
867,demand,5145.27555854405
868,demand,5224.929313764995
869,demand,5520.22012978088
870,demand,6639.300616867826
871,demand,7602.428287068676
872,demand,8081.414213854818
873,demand,8166.070234574877
874,demand,8065.003260562106
875,demand,7828.47294157531
876,demand,7613.806999570183
877,demand,7508.660971778763
878,demand,7338.850672825192
879,demand,7140.564785533426
880,demand,7140.260468380152
881,demand,7504.303778954648
882,demand,7504.780543115773
883,demand,7320.254268825151
884,demand,7036.802942544772
885,demand,6613.00100831778
886,demand,6100.788094580294
887,demand,5682.406126422216
888,demand,5279.141867176286
889,demand,5077.812785507011
890,demand,4970.912873810338
891,demand,4942.816425349896
892,demand,5027.640619831557
893,demand,5332.987935270912
894,demand,6432.271069137825
895,demand,7373.036962385899
896,demand,7805.024488901415
897,demand,7872.188895070834
898,demand,7770.497709960558
899,demand,7568.156177544131
900,demand,7392.4799389196105
901,demand,7344.355400585868
902,demand,7187.013491374055
903,demand,7013.984966840237
904,demand,6940.708132064891
905,demand,7385.822738490604
906,demand,7473.088085629079
907,demand,7353.83471640622
908,demand,7142.452973273342
909,demand,6741.080612979716
910,demand,6243.455874189739
911,demand,5844.013895814265
912,demand,5432.330349017254
913,demand,5217.283267050868
914,demand,5101.371469307021
915,demand,5039.733673226279
916,demand,5090.790691925269
917,demand,5347.255669475358
918,demand,6374.212587289439
919,demand,7259.971117965566
920,demand,7648.077222969767
921,demand,7592.48336917306
922,demand,7305.4382510312935
923,demand,7052.36457265615
924,demand,6849.957326075704
925,demand,6818.6567627207805
926,demand,6774.488387109632
927,demand,6771.279318624378
928,demand,6876.230311825873
929,demand,7308.432733236385
930,demand,7343.390901798764
931,demand,7179.864411429335
932,demand,6929.591968185881
933,demand,6530.750212289742
934,demand,6038.218704206183
935,demand,5656.872742839572
936,demand,5281.527722620625
937,demand,5108.279908348968
938,demand,4988.722356898548
939,demand,4927.432967588443
940,demand,4964.097199319113
941,demand,5213.87151419628
942,demand,6248.515249953375
943,demand,7099.737073729297
944,demand,7457.216045526272
945,demand,7421.907699748428
946,demand,7195.269876516202
947,demand,6893.687992817448
948,demand,6615.665425123065
949,demand,6512.36731176954
950,demand,6475.228598945099
951,demand,6509.305749303285
952,demand,6594.561001583428
953,demand,7025.0013644123555
954,demand,7060.945929059861
955,demand,6847.785212325096
956,demand,6588.857824571552
957,demand,6254.851460064325
958,demand,5848.646886149356
959,demand,5501.128149585258
960,demand,5096.147119567038
961,demand,5014.308361777577
962,demand,4879.293703577881
963,demand,4787.393887500371
964,demand,4700.564113355439
965,demand,4621.677983603694
966,demand,5248.822671207185
967,demand,5972.65869037952
968,demand,6460.78275958763
